#1	
double	presence(8760,2)
3420000	0.345
3423600	0.379
3427200	0.345
3430800	0.448
3434400	0.483
3438000	0.69
3441600	0.862
3445200	0.862
3448800	1
3452400	1
3456000	1
3459600	1
3463200	1
3466800	1
3470400	1
3474000	1
3477600	0.862
3481200	0.621
3484800	0.483
3488400	0.172
3492000	0.207
3495600	0.172
3499200	0.345
3502800	0.517
3506400	0.345
3510000	0.379
3513600	0.345
3517200	0.448
3520800	0.483
3524400	0.69
3528000	0.862
3531600	0.862
3535200	1
3538800	1
3542400	1
3546000	1
3549600	1
3553200	1
3556800	1
3560400	1
3564000	0.862
3567600	0.621
3571200	0.483
3574800	0.172
3578400	0.207
3582000	0.172
3585600	0.345
3589200	0.517
3592800	0.345
3596400	0.379
3600000	0.345
3603600	0.448
3607200	0.483
3610800	0.69
3614400	0.862
3618000	0.862
3621600	1
3625200	1
3628800	0.966
3632400	0.966
3636000	0.966
3639600	1
3643200	1
3646800	0.966
3650400	0.822
3654000	0.724
3657600	0.655
3661200	0.552
3664800	0.448
3668400	0.31
3672000	0.586
3675600	0.655
3679200	0.552
3682800	0.483
3686400	0.448
3690000	0.483
3693600	0.517
3697200	0.69
3700800	0.759
3704400	0.793
3708000	0.793
3711600	0.966
3715200	0.966
3718800	0.966
3722400	0.966
3726000	1
3729600	1
3733200	0.966
3736800	0.822
3740400	0.724
3744000	0.655
3747600	0.552
3751200	0.448
3754800	0.31
3758400	0.586
3762000	0.655
3765600	0.552
3769200	0.483
3772800	0.448
3776400	0.483
3780000	0.517
3783600	0.69
3787200	0.759
3790800	0.793
3794400	0.793
3798000	0.966
3801600	1
3805200	1
3808800	1
3812400	1
3816000	1
3819600	1
3823200	0.862
3826800	0.621
3830400	0.483
3834000	0.172
3837600	0.207
3841200	0.172
3844800	0.345
3848400	0.517
3852000	0.345
3855600	0.379
3859200	0.345
3862800	0.448
3866400	0.483
3870000	0.69
3873600	0.862
3877200	0.862
3880800	1
3884400	1
3888000	1
3891600	1
3895200	1
3898800	1
3902400	1
3906000	1
3909600	0.862
3913200	0.621
3916800	0.483
3920400	0.172
3924000	0.207
3927600	0.172
3931200	0.345
3934800	0.517
3938400	0.345
3942000	0.379
3945600	0.345
3949200	0.448
3952800	0.483
3956400	0.69
3960000	0.862
3963600	0.862
3967200	1
3970800	1
3974400	1
3978000	1
3981600	1
3985200	1
3988800	1
3992400	1
3996000	0.862
3999600	0.621
4003200	0.483
4006800	0.172
4010400	0.207
4014000	0.172
4017600	0.345
4021200	0.517
4024800	0.345
4028400	0.379
4032000	0.345
4035600	0.448
4039200	0.483
4042800	0.69
4046400	0.862
4050000	0.862
4053600	1
4057200	1
4060800	1
4064400	1
4068000	1
4071600	1
4075200	1
4078800	1
4082400	0.862
4086000	0.621
4089600	0.483
4093200	0.172
4096800	0.207
4100400	0.172
4104000	0.345
4107600	0.517
4111200	0.345
4114800	0.379
4118400	0.345
4122000	0.448
4125600	0.483
4129200	0.69
4132800	0.862
4136400	0.862
4140000	1
4143600	1
4147200	1
4150800	1
4154400	1
4158000	1
4161600	1
4165200	1
4168800	0.862
4172400	0.621
4176000	0.483
4179600	0.172
4183200	0.207
