#1	
double	Pel(1441,2)
3182400	160.9
3186000	154.8
3189600	143.9
3193200	127.6
3196800	94.0
3200400	84.3
3204000	62.2
3207600	48.9
3211200	44.3
3214800	43.2
3218400	43.3
3222000	45.7
3225600	65.6
3229200	111.2
3232800	159.5
3236400	185.1
3240000	205.2
3243600	207.8
3247200	168.6
3250800	136.3
3254400	121.0
3258000	107.3
3261600	111.8
3265200	137.6
3268800	160.9
3272400	154.8
3276000	143.9
3279600	127.6
3283200	94.0
3286800	84.3
3290400	62.2
3294000	48.9
3297600	44.3
3301200	43.2
3304800	43.3
3308400	45.7
3312000	65.6
3315600	111.2
3319200	159.5
3322800	185.1
3326400	205.2
3330000	207.8
3333600	168.6
3337200	136.3
3340800	121.0
3344400	107.3
3348000	111.8
3351600	137.6
3355200	160.9
3358800	154.8
3362400	143.9
3366000	127.6
3369600	94.0
3373200	84.3
3376800	62.2
3380400	48.9
3384000	44.3
3387600	43.2
3391200	43.3
3394800	45.7
3398400	65.6
3402000	111.2
3405600	159.5
3409200	185.1
3412800	205.2
3416400	207.8
3420000	168.6
3423600	136.3
3427200	121.0
3430800	107.3
3434400	111.8
3438000	137.6
3441600	160.9
3445200	154.8
3448800	143.9
3452400	127.6
3456000	94.0
3459600	73.6
3463200	54.825
3466800	49.775
3470400	46.875
3474000	48.8
3477600	59.25
3481200	97.9
3484800	129.725
3488400	141.625
3492000	144.075
3495600	139.25
3499200	141.95
3502800	157.8
3506400	152.7
3510000	131.775
3513600	118.775
3517200	114.775
3520800	122.5
3524400	142.175
3528000	165.15
3531600	166.575
3535200	157.525
3538800	144.5
3542400	112.075
3546000	73.6
3549600	54.8
3553200	49.8
3556800	46.9
3560400	48.8
3564000	59.3
3567600	97.9
3571200	129.7
3574800	141.6
3578400	144.1
3582000	139.3
3585600	142.0
3589200	157.8
3592800	152.7
3596400	131.8
3600000	118.8
3603600	114.8
3607200	122.5
3610800	142.2
3614400	165.2
3618000	166.6
3621600	157.5
3625200	144.5
3628800	112.1
3632400	73.6
3636000	54.8
3639600	49.8
3643200	46.9
3646800	48.8
3650400	59.3
3654000	97.9
3657600	129.7
3661200	141.6
3664800	144.1
