#1	
double	presence(1441,2)
3240000	0.655
3243600	0.793
3247200	0.8275
3250800	0.776
3254400	0.7415
3258000	0.724
3261600	0.7415
3265200	0.7415
3268800	0.7585
3272400	0.845
3276000	0.8795
3279600	0.8965
3283200	0.983
3286800	0.983
3290400	0.983
3294000	0.983
3297600	1
3301200	1
3304800	0.983
3308400	0.914
3312000	0.862
3315600	0.8275
3319200	0.776
3322800	0.724
3326400	0.655
3330000	0.793
3333600	0.8275
3337200	0.776
3340800	0.7415
3344400	0.724
3348000	0.7415
3351600	0.7415
3355200	0.7585
3358800	0.845
3362400	0.8795
3366000	0.8965
3369600	0.983
3373200	0.983
3376800	0.983
3380400	0.983
3384000	1
3387600	1
3391200	0.983
3394800	0.914
3398400	0.862
3402000	0.8275
3405600	0.776
3409200	0.724
3412800	0.655
3416400	0.793
3420000	0.8275
3423600	0.776
3427200	0.7415
3430800	0.724
3434400	0.7415
3438000	0.7415
3441600	0.7585
3445200	0.845
3448800	0.8795
3452400	0.8965
3456000	0.983
3459600	1
3463200	1
3466800	1
3470400	1
3474000	1
3477600	1
3481200	0.931
3484800	0.8105
3488400	0.7415
3492000	0.586
3495600	0.6035
3499200	0.586
3502800	0.6725
3506400	0.7585
3510000	0.6725
3513600	0.6895
3517200	0.6725
3520800	0.724
3524400	0.7415
3528000	0.845
3531600	0.931
3535200	0.931
3538800	0.931
3542400	1
3546000	1
3549600	1
3553200	1
3556800	1
3560400	1
3564000	1
3567600	0.931
3571200	0.8105
3574800	0.7415
3578400	0.586
3582000	0.6035
3585600	0.586
3589200	0.6725
3592800	0.7585
3596400	0.6725
3600000	0.6895
3603600	0.6725
3607200	0.724
3610800	0.7415
3614400	0.845
3618000	0.931
3621600	0.931
3625200	0.931
3628800	1
3632400	1
3636000	1
3639600	1
3643200	1
3646800	1
3650400	1
3654000	0.931
3657600	0.8105
3661200	0.7415
3664800	0.586
3668400	0.6035
3672000	0.586
3675600	0.6725
3679200	0.7585
3682800	0.6725
3686400	0.6895
3690000	0.6725
3693600	0.724
3697200	0.7415
3700800	0.845
3704400	0.931
3708000	0.931
3711600	0.931
3715200	1
3718800	1
3722400	1
3726000	1
3729600	1
3733200	1
3736800	1
3740400	0.931
3744000	0.8105
3747600	0.7415
3751200	0.586
3754800	0.6035
3758400	0.586
3762000	0.6725
3765600	0.7585
3769200	0.6725
3772800	0.6895
3776400	0.6725
3780000	0.724
3783600	0.7415
3787200	0.845
3790800	0.931
3794400	0.931
3798000	0.931
3801600	1
3805200	1
3808800	1
3812400	1
3816000	1
3819600	1
3823200	1
3826800	0.931
3830400	0.8105
3834000	0.7415
3837600	0.586
3841200	0.6035
3844800	0.586
3848400	0.6725
3852000	0.7585
3855600	0.6725
3859200	0.6895
3862800	0.6725
3866400	0.724
3870000	0.7415
3873600	0.845
3877200	0.931
3880800	0.931
3884400	0.931
3888000	1
3891600	0.983
3895200	0.983
3898800	0.983
3902400	1
3906000	1
3909600	0.983
3913200	0.914
3916800	0.862
3920400	0.8275
3924000	0.776
3927600	0.724
3931200	0.655
3934800	0.793
3938400	0.8275
3942000	0.776
3945600	0.7415
3949200	0.724
3952800	0.7415
3956400	0.7415
3960000	0.7585
3963600	0.845
3967200	0.8795
3970800	0.8965
3974400	0.983
3978000	0.983
3981600	0.983
3985200	0.983
3988800	1
3992400	1
3996000	0.983
3999600	0.914
4003200	0.862
4006800	0.8275
4010400	0.776
4014000	0.724
4017600	0.655
4021200	0.793
4024800	0.8275
4028400	0.776
4032000	0.7415
4035600	0.724
4039200	0.7415
4042800	0.7415
4046400	0.7585
4050000	0.845
4053600	0.8795
4057200	0.8965
4060800	0.983
4064400	0.983
4068000	0.983
4071600	0.983
4075200	1
4078800	1
4082400	0.983
4086000	0.914
4089600	0.862
4093200	0.8275
4096800	0.776
4100400	0.724
4104000	0.655
4107600	0.793
4111200	0.8275
4114800	0.776
4118400	0.7415
4122000	0.724
4125600	0.7415
4129200	0.7415
4132800	0.7585
4136400	0.845
4140000	0.8795
4143600	0.8965
4147200	0.983
4150800	0.983
4154400	0.983
4158000	0.983
4161600	1
4165200	1
4168800	0.983
4172400	0.914
4176000	0.862
4179600	0.8275
4183200	0.776
4186800	0.724
4190400	0.655
4194000	0.793
4197600	0.8275
4201200	0.776
4204800	0.7415
4208400	0.724
4212000	0.7415
4215600	0.7415
4219200	0.7585
4222800	0.845
4226400	0.8795
4230000	0.8965
4233600	0.983
4237200	0.983
4240800	0.983
4244400	0.983
4248000	1
4251600	1
4255200	0.983
4258800	0.914
4262400	0.862
4266000	0.8275
4269600	0.776
4273200	0.724
4276800	0.655
4280400	0.793
4284000	0.8275
4287600	0.776
4291200	0.7415
4294800	0.724
4298400	0.7415
4302000	0.7415
4305600	0.7585
4309200	0.845
4312800	0.8795
4316400	0.8965
4320000	0.983
4323600	0.983
4327200	0.983
4330800	0.983
4334400	1
4338000	1
4341600	0.983
4345200	0.914
4348800	0.862
4352400	0.8275
4356000	0.776
4359600	0.724
4363200	0.655
4366800	0.793
4370400	0.8275
4374000	0.776
4377600	0.7415
4381200	0.724
4384800	0.7415
4388400	0.7415
4392000	0.7585
4395600	0.845
4399200	0.8795
4402800	0.8965
4406400	0.983
4410000	0.983
4413600	0.983
4417200	0.983
4420800	1
4424400	1
4428000	0.983
4431600	0.914
4435200	0.862
4438800	0.8275
4442400	0.776
4446000	0.724
4449600	0.655
4453200	0.793
4456800	0.8275
4460400	0.776
4464000	0.7415
4467600	0.724
4471200	0.7415
4474800	0.7415
4478400	0.7585
4482000	0.845
4485600	0.8795
4489200	0.8965
4492800	0.983
4496400	0.983
4500000	0.983
4503600	0.983
4507200	1
4510800	1
4514400	0.983
4518000	0.914
4521600	0.862
4525200	0.8275
4528800	0.776
4532400	0.724
4536000	0.655
4539600	0.793
4543200	0.8275
4546800	0.776
4550400	0.7415
4554000	0.724
4557600	0.7415
4561200	0.7415
4564800	0.7585
4568400	0.845
4572000	0.8795
4575600	0.8965
4579200	0.983
4582800	0.983
4586400	0.983
4590000	0.983
4593600	1
4597200	1
4600800	0.983
4604400	0.914
4608000	0.862
4611600	0.8275
4615200	0.776
4618800	0.724
4622400	0.655
4626000	0.793
4629600	0.8275
4633200	0.776
4636800	0.7415
4640400	0.724
4644000	0.7415
4647600	0.7415
4651200	0.7585
4654800	0.845
4658400	0.8795
4662000	0.8965
4665600	0.983
4669200	0.983
4672800	0.983
4676400	0.983
4680000	1
4683600	1
4687200	0.983
4690800	0.914
4694400	0.862
4698000	0.8275
4701600	0.776
4705200	0.724
4708800	0.655
4712400	0.793
4716000	0.8275
4719600	0.776
4723200	0.7415
4726800	0.724
4730400	0.7415
4734000	0.7415
4737600	0.7585
4741200	0.845
4744800	0.8795
4748400	0.8965
4752000	0.983
4755600	1
4759200	1
4762800	1
4766400	1
4770000	1
4773600	1
4777200	0.931
4780800	0.8105
4784400	0.7415
4788000	0.586
4791600	0.6035
4795200	0.586
4798800	0.6725
4802400	0.7585
4806000	0.6725
4809600	0.6895
4813200	0.6725
4816800	0.724
4820400	0.7415
4824000	0.845
4827600	0.931
4831200	0.931
4834800	0.931
4838400	1
4842000	1
4845600	1
4849200	1
4852800	1
4856400	1
4860000	1
4863600	0.931
4867200	0.8105
4870800	0.7415
4874400	0.586
4878000	0.6035
4881600	0.586
4885200	0.6725
4888800	0.7585
4892400	0.6725
4896000	0.6895
4899600	0.6725
4903200	0.724
4906800	0.7415
4910400	0.845
4914000	0.931
4917600	0.931
4921200	0.931
4924800	1
4928400	1
4932000	1
4935600	1
4939200	1
