#1	
double	Pel(35040,2)
1038600	0.06915
1039500	0.06286
1040400	0.05817
1041300	0.05488
1042200	0.05276
1043100	0.05135
1044000	0.05051
1044900	0.04987
1045800	0.04959
1046700	0.04923
1047600	0.04883
1048500	0.04859
1049400	0.04823
1050300	0.04823
1051200	0.04835
1052100	0.04883
1053000	0.04951
1053900	0.05035
1054800	0.05151
1055700	0.05428
1056600	0.06009
1057500	0.07024
1058400	0.08559
1059300	0.10423
1060200	0.12339
1061100	0.14039
1062000	0.15310
1062900	0.16180
1063800	0.16709
1064700	0.16970
1065600	0.17046
1066500	0.16970
1067400	0.16757
1068300	0.16457
1069200	0.16080
1070100	0.15687
1071000	0.15298
1071900	0.14981
1072800	0.14769
1073700	0.14629
1074600	0.14568
1075500	0.14568
1076400	0.14621
1077300	0.14729
1078200	0.14945
1079100	0.15298
1080000	0.15787
1080900	0.16316
1081800	0.16745
1082700	0.16970
1083600	0.16894
1084500	0.16581
1085400	0.16116
1086300	0.15611
1087200	0.15134
1088100	0.14705
1089000	0.14316
1089900	0.13939
1090800	0.13586
1091700	0.13286
1092600	0.13033
1093500	0.12893
1094400	0.12865
1095300	0.12993
1096200	0.13294
1097100	0.13839
1098000	0.14605
1098900	0.15575
1099800	0.16693
1100700	0.17916
1101600	0.19187
1102500	0.20421
1103400	0.21552
1104300	0.22526
1105200	0.23256
1106100	0.23693
1107000	0.23785
1107900	0.23468
1108800	0.22751
1109700	0.21744
1110600	0.20638
1111500	0.19588
1112400	0.18750
1113300	0.18052
1114200	0.17423
1115100	0.16769
1116000	0.16012
1116900	0.15174
1117800	0.14268
1118700	0.13310
1119600	0.12339
1120500	0.11357
1121400	0.10387
1122300	0.09433
1123200	0.08511
1124100	0.07657
1125000	0.06915
1125900	0.06286
1126800	0.05817
1127700	0.05492
1128600	0.05280
1129500	0.05139
1130400	0.05051
1131300	0.04987
1132200	0.04963
1133100	0.04927
1134000	0.04887
1134900	0.04863
1135800	0.04827
1136700	0.04827
1137600	0.04835
1138500	0.04887
1139400	0.04951
1140300	0.05039
1141200	0.05151
1142100	0.05432
1143000	0.06009
1143900	0.07028
1144800	0.08563
1145700	0.10427
1146600	0.12339
1147500	0.14043
1148400	0.15314
1149300	0.16184
1150200	0.16713
1151100	0.16974
1152000	0.17050
1152900	0.16974
1153800	0.16765
1154700	0.16461
1155600	0.16084
1156500	0.15691
1157400	0.15302
1158300	0.14985
1159200	0.14773
1160100	0.14633
