#1	
double	Pel(35040,2)
1104300	225.26
1105200	232.56
1106100	236.93
1107000	237.85
1107900	234.68
1108800	227.51
1109700	217.44
1110600	206.38
1111500	195.88
1112400	187.5
1113300	180.52
1114200	174.23
1115100	167.69
1116000	160.12
1116900	151.74
1117800	142.68
1118700	133.1
1119600	123.39
1120500	113.57
1121400	103.87
1122300	94.33
1123200	85.11
1124100	76.57
1125000	69.15
1125900	62.86
1126800	58.17
1127700	54.92
1128600	52.8
1129500	51.39
1130400	50.51
1131300	49.87
1132200	49.63
1133100	49.27
1134000	48.87
1134900	48.63
1135800	48.27
1136700	48.27
1137600	48.35
1138500	48.87
1139400	49.51
1140300	50.39
1141200	51.51
1142100	54.32
1143000	60.09
1143900	70.28
1144800	85.63
1145700	104.27
1146600	123.39
1147500	140.43
1148400	153.14
1149300	161.84
1150200	167.13
1151100	169.74
1152000	170.5
1152900	169.74
1153800	167.65
1154700	164.61
1155600	160.84
1156500	156.91
1157400	153.02
1158300	149.85
1159200	147.73
1160100	146.33
1161000	145.72
1161900	145.72
1162800	146.25
1163700	147.33
1164600	149.49
1165500	153.02
1166400	157.91
1167300	163.2
1168200	167.49
1169100	169.74
1170000	169.02
1170900	165.89
1171800	161.2
1172700	156.15
1173600	151.38
1174500	147.09
1175400	143.2
1176300	139.43
1177200	135.9
1178100	132.9
1179000	130.37
1179900	128.97
1180800	128.69
1181700	129.97
1182600	132.98
1183500	138.43
1184400	146.09
1185300	155.79
1186200	166.97
1187100	179.24
1188000	191.91
1188900	204.25
1189800	215.6
1190700	225.3
1191600	232.64
1192500	237.01
1193400	237.89
1194300	234.72
1195200	227.59
1196100	217.52
1197000	206.42
1197900	195.96
1198800	187.54
1199700	180.6
1200600	174.27
1201500	167.73
1202400	160.2
1203300	151.78
1204200	142.72
1205100	133.14
1206000	123.39
1206900	113.57
1207800	103.91
1208700	94.33
1209600	89.16
1210500	85.91
1211400	83.02
1212300	79.74
1213200	74.97
1214100	69.27
1215000	63.62
1215900	58.69
1216800	55.32
1217700	53.32
1218600	52.16
1219500	51.39
1220400	50.79
1221300	50.27
1222200	49.79
1223100	49.27
1224000	48.87
1224900	48.51
1225800	48.27
1226700	48.27
1227600	48.51
1228500	49.27
1229400	50.79
1230300	53.4
1231200	57.45
1232100	62.86
1233000	69.68
1233900	77.57
1234800	86.79
1235700	97.14
1236600	108.48
1237500	120.55
1238400	133.26
1239300	145.84
1240200	157.35
1241100	166.65
1242000	173.31
1242900	177.76
1243800	180.52
1244700	182.41
1245600	183.89
1246500	185.41
1247400	186.94
1248300	188.7
1249200	190.86
1250100	193.35
1251000	196.48
1251900	200.29
1252800	204.54
1253700	208.82
1254600	212.11
1255500	213.88
1256400	213.36
1257300	211.11
1258200	207.58
1259100	203.45
1260000	199.16
1260900	195.11
1261800	191.19
1262700	187.66
1263600	184.57
1264500	181.88
1265400	179.76
1266300	178.24
1267200	177.52
1268100	178.52
1269000	182.53
1269900	190.86
1270800	203.93
1271700	219.93
1272600	236.05
1273500	249.56
1274400	258.46
1275300	263.39
1276200	265.91
1277100	267.28
1278000	268.56
1278900	268.28
1279800	265.03
1280700	256.85
1281600	242.98
1282500	225.46
1283400	207.06
1284300	190.86
1285200	178.76
1286100	170.46
1287000	165.01
1287900	161.48
1288800	158.87
1289700	156.35
1290600	153.18
1291500	148.89
1292400	142.84
1293300	135.26
1294200	126.96
1295100	118.54
1296000	110.25
1296900	102.19
1297800	94.49
1298700	87.07
1299600	79.86
1300500	73.32
1301400	67.51
1302300	62.9
1303200	59.61
1304100	57.33
1305000	55.68
1305900	54.56
1306800	53.4
1307700	52.32
1308600	51.31
1309500	50.39
1310400	49.55
1311300	48.87
1312200	48.51
1313100	48.27
1314000	48.27
1314900	48.39
1315800	48.79
1316700	49.27
1317600	50.03
1318500	50.87
1319400	52.04
1320300	53.4
1321200	55.44
1322100	58.69
1323000	64.38
1323900	73.48
1324800	86.43
1325700	102.43
1326600	119.91
1327500	137.31
1328400	153.58
1329300	168.46
1330200	181.88
1331100	193.99
1332000	204.82
1332900	214.8
1333800	224.22
1334700	233.8
1335600	243.54
1336500	252.68
1337400	260.26
1338300	265.31
1339200	266.79
1340100	264.79
1341000	259.42
1341900	250.6
1342800	238.85
